,var1(t-7),var2(t-7),var3(t-7),var4(t-7),var5(t-7),var1(t-6),var2(t-6),var3(t-6),var4(t-6),var5(t-6),var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var1(t),var2(t),var3(t),var4(t),var5(t)
284,0.0,7912.87,0.18006125023896,0.0637708659912062,59055.0,1.0,8158.38,0.1799749520613614,0.0615176973473953,84389.0,1.0,8327.58,0.1790784357708987,0.0612565799312098,60489.0,1.0,8627.93,0.1810065242515751,0.0595439361741788,62400.0,1.0,8826.05,0.1731667484576556,0.0706110487941671,71567.0,1.0,9028.89,0.17575048292302,0.0654626197032592,56042.0,1.0,9295.55,0.1841375904731344,0.0627467821870431,69286.0,0,9015.0,0.1830951294255721,0.060788778770294,194942.0
42,1.0,6207.29,0.1182832369942196,0.0465375722543352,793.0,0.0,6188.66,0.1377377049180327,0.0340737704918032,660.0,1.0,6207.94,0.1169059829059829,0.0549829059829059,697.0,1.0,6393.54,0.1339112903225806,0.0336854838709677,805.0,1.0,6460.32,0.1258058823529411,0.0517882352941176,894.0,0.0,6443.22,0.1312865497076023,0.0279941520467836,913.0,0.0,6370.03,0.1195892857142857,0.0458035714285714,853.0,1,6384.17,0.1177350993377483,0.0436556291390728,840.0
439,0.0,8746.45,0.1798795011628839,0.0647487769668778,63453.0,0.0,8647.04,0.1796883980727412,0.0676369334413507,57852.0,0.0,8503.74,0.1796745116497999,0.0692036557621401,57564.0,0.0,8469.2,0.1760002478826688,0.0702550299524891,56993.0,1.0,8545.36,0.1783591196895425,0.0705954350490195,46589.0,0.0,8200.74,0.1827508744855966,0.0720990226337448,48266.0,0.0,8123.89,0.1726017171756773,0.0679303328498059,59746.0,0,8085.36,0.1814385044768291,0.0669797699771475,62924.0
101,0.0,3422.53,0.1199428571428571,0.0453857142857142,823.0,0.0,3363.98,0.1130426829268292,0.0435,863.0,1.0,3409.78,0.1228083832335329,0.0477904191616766,847.0,0.0,3266.42,0.126695652173913,0.0411014492753623,920.0,0.0,3213.72,0.1125581395348837,0.0416418604651162,965.0,0.0,3199.92,0.0939083665338645,0.0456533864541832,989.0,0.0,3199.0,0.0955817307692307,0.0380913461538461,930.0,1,3476.0,0.103327868852459,0.0448961748633879,857.0
4,1.0,7357.07,0.1147701149425287,0.0454080459770114,980.0,0.0,6927.9,0.1189604519774011,0.0393502824858757,987.0,0.0,6435.58,0.1218990825688073,0.0497155963302752,1027.0,0.0,6416.13,0.1212020725388601,0.0321139896373057,1012.0,0.0,6178.21,0.1233758389261744,0.0435436241610738,800.0,1.0,6363.43,0.1204436090225563,0.0456315789473684,787.0,0.0,6294.42,0.1092272727272727,0.0451010101010101,876.0,1,6311.43,0.1202549999999999,0.04009,896.0
215,1.0,5222.34,0.1667830687830687,0.0468650793650793,1206.0,0.0,4925.0,0.1609,0.0545911764705882,1177.0,1.0,5002.24,0.1484092664092664,0.0426293436293436,976.0,0.0,5001.93,0.1660659025787965,0.0329770773638968,1091.0,1.0,5151.86,0.1588904109589041,0.0395479452054794,924.0,1.0,5282.62,0.1735533980582524,0.0397038834951456,935.0,0.0,5217.96,0.18003738317757,0.0369345794392523,1129.0,1,5295.31,0.1559584775086505,0.0419965397923875,1051.0
374,0.0,10289.11,0.1822632398753894,0.0670902010761823,53451.0,0.0,10089.31,0.1825980073118797,0.0635747057169258,62736.0,1.0,10166.04,0.1890982362373062,0.0637526456440406,67539.0,1.0,10409.0,0.1872477852451504,0.0701356346418206,64682.0,0.0,10304.84,0.181978357901054,0.072976670042384,64856.0,1.0,10397.42,0.1855377779762436,0.068052915959632,56446.0,0.0,10299.99,0.1884557642149191,0.0621354199269692,49228.0,0,10296.11,0.1860521657691407,0.0592078670100679,53331.0
410,0.0,8150.21,0.1822459756409164,0.0636148113448598,56389.0,0.0,7977.13,0.1867644132757074,0.0626013210470521,61220.0,1.0,8061.17,0.1790267663920422,0.0709550476479744,63805.0,0.0,7953.45,0.1743556326084498,0.0748492066483247,62450.0,1.0,7959.0,0.1756081107814046,0.0787095548961424,58988.0,1.0,8212.4,0.1801827220398648,0.0703143047428761,51224.0,1.0,8214.63,0.1837664276885043,0.0641759208899876,50095.0,0,8095.0,0.1788686321265987,0.0710729243442445,57710.0
228,1.0,5207.3,0.1547009966777408,0.0357641196013289,1167.0,1.0,5231.95,0.1520234113712374,0.0435250836120401,1061.0,1.0,5297.91,0.1648355263157894,0.0387631578947368,1006.0,0.0,5271.86,0.1575635738831615,0.0369621993127147,1008.0,0.0,5267.49,0.1682385620915032,0.0382745098039215,987.0,1.0,5275.04,0.1750355987055016,0.0427799352750809,1086.0,1.0,5389.09,0.2153825857519788,0.0417625329815303,1245.0,1,5567.39,0.154251552795031,0.0449813664596273,1029.0
17,0.0,6250.43,0.1285986394557823,0.0418231292517006,796.0,1.0,6323.99,0.124906432748538,0.0456900584795321,950.0,1.0,6400.03,0.1156625766871165,0.0393435582822085,912.0,1.0,6501.14,0.117282722513089,0.033675392670157,956.0,1.0,6729.93,0.1037533632286995,0.0275067264573991,979.0,0.0,6691.29,0.1146703910614525,0.042754189944134,844.0,0.0,6675.0,0.120375,0.0288823529411764,703.0,0,6621.46,0.117765625,0.0646510416666666,815.0
280,1.0,7956.05,0.1813975609756097,0.0695439741750358,61317.0,0.0,7885.06,0.172436887921654,0.0745735944867609,62125.0,0.0,7638.0,0.1810941507519143,0.0674091705876926,111201.0,1.0,7951.6,0.1844844276094276,0.0667835765057987,51247.0,0.0,7912.87,0.18006125023896,0.0637708659912062,59055.0,1.0,8158.38,0.1799749520613614,0.0615176973473953,84389.0,1.0,8327.58,0.1790784357708987,0.0612565799312098,60489.0,1,8627.93,0.1810065242515751,0.0595439361741788,62400.0
20,1.0,6501.14,0.117282722513089,0.033675392670157,956.0,1.0,6729.93,0.1037533632286995,0.0275067264573991,979.0,0.0,6691.29,0.1146703910614525,0.042754189944134,844.0,0.0,6675.0,0.120375,0.0288823529411764,703.0,0.0,6621.46,0.117765625,0.0646510416666666,815.0,0.0,6390.23,0.1187428571428571,0.0658412698412698,1048.0,1.0,6472.38,0.135964824120603,0.0467738693467336,946.0,1,6716.24,0.1200049751243781,0.0330348258706467,965.0
130,1.0,3998.35,0.1323176470588235,0.0480529411764705,823.0,1.0,4008.38,0.1214606741573033,0.0455561797752809,851.0,0.0,3627.47,0.1327112068965517,0.0408793103448275,946.0,0.0,3618.34,0.1176839378238342,0.0542487046632124,831.0,1.0,3627.67,0.1245766871165644,0.0349263803680981,736.0,0.0,3506.76,0.099267716535433,0.0464960629921259,720.0,1.0,3659.78,0.1238676470588235,0.0446617647058823,731.0,0,3572.3,0.1363714285714286,0.0411257142857142,828.0
407,1.0,8339.07,0.1761013566193669,0.070922384219554,60908.0,0.0,8249.59,0.1850642905700689,0.0614404680975041,50605.0,1.0,8311.99,0.187424082156611,0.0607730423620025,49669.0,0.0,8150.21,0.1822459756409164,0.0636148113448598,56389.0,0.0,7977.13,0.1867644132757074,0.0626013210470521,61220.0,1.0,8061.17,0.1790267663920422,0.0709550476479744,63805.0,0.0,7953.45,0.1743556326084498,0.0748492066483247,62450.0,1,7959.0,0.1756081107814046,0.0787095548961424,58988.0
300,0.0,10715.14,0.1732428943937418,0.0753295632333767,141641.0,1.0,12278.42,0.1708491599469669,0.0729275359168858,103478.0,0.0,11946.02,0.1751391282867651,0.0658463248613932,82091.0,0.0,11262.6,0.1774305148668215,0.0630238071185641,67431.0,0.0,10560.24,0.1802828191929736,0.0645026096972751,64162.0,1.0,10675.94,0.1797571568423862,0.0601007149425969,79193.0,1.0,11407.72,0.1779589467251819,0.0671780456641297,84177.0,1,11561.88,0.1747722538696127,0.0721215547499856,128958.0
319,0.0,9635.96,0.1682867449094283,0.0819571320281255,81730.0,1.0,9825.85,0.1721859138563921,0.0766024770908706,84318.0,1.0,10610.75,0.1729252216643521,0.0791850763807285,83294.0,0.0,10565.04,0.1724509792709078,0.0769259185132237,80197.0,1.0,10960.98,0.1792684735444595,0.0707662716145327,76434.0,0.0,10566.81,0.1849193865076131,0.067359834031045,66201.0,0.0,10272.01,0.185489386427022,0.0614984505732878,61595.0,0,10126.66,0.1842797122396688,0.0673711648380527,74541.0
364,1.0,9586.5,0.1744515881428414,0.078676303958478,65909.0,1.0,9650.68,0.1804327354260089,0.0713215585074879,57357.0,1.0,9709.65,0.1799857501200832,0.0678773549661098,48196.0,1.0,10388.59,0.1764437716662815,0.0715074647561821,56354.0,1.0,10700.45,0.1746771355342183,0.0753758463716001,68266.0,0.0,10672.0,0.1745397521317361,0.0709188732005385,118922.0,0.0,10555.04,0.1787235231908143,0.0684186055295362,66202.0,0,10417.69,0.1800813430738971,0.0725838367518966,65381.0
276,0.0,8495.0,0.1778619959143527,0.060771355073012,62729.0,0.0,7449.68,0.1677323868736908,0.0698456960468131,69266.0,1.0,7735.0,0.1705862575433442,0.0756915929627382,72075.0,1.0,7743.99,0.1723261574153048,0.0742061342158234,64947.0,1.0,7956.05,0.1813975609756097,0.0695439741750358,61317.0,0.0,7885.06,0.172436887921654,0.0745735944867609,62125.0,0.0,7638.0,0.1810941507519143,0.0674091705876926,111201.0,1,7951.6,0.1844844276094276,0.0667835765057987,51247.0
388,0.0,9741.16,0.1840980220634689,0.0650743062642756,51779.0,0.0,8650.0,0.1846039422501496,0.0633511370436864,66469.0,0.0,8580.0,0.1759632150137905,0.0810076747811488,81359.0,0.0,8075.42,0.1720075243845796,0.0794516178975073,76116.0,1.0,8242.95,0.1737799704658343,0.0780195328231977,70832.0,0.0,8132.02,0.1733854097268487,0.0766170701014138,63877.0,0.0,8050.0,0.1906996964904031,0.0638331124695421,53762.0,1,8253.08,0.1847435083951581,0.0680789242483404,50258.0
313,0.0,11935.45,0.1819700189200989,0.0657885024013971,79064.0,0.0,11296.44,0.1785672608991653,0.0698547870596838,90203.0,1.0,11805.25,0.1784267004404018,0.0730016982815693,122824.0,0.0,11032.97,0.1746551686812195,0.086726375608876,110973.0,0.0,10637.4,0.1784753377828422,0.0745861956698681,70130.0,1.0,10737.18,0.172560523145758,0.0749774221304422,66456.0,0.0,9635.96,0.1682867449094283,0.0819571320281255,81730.0,1,9825.85,0.1721859138563921,0.0766024770908706,84318.0
384,1.0,10270.0,0.1881007264411112,0.0607356225196744,71351.0,0.0,10130.0,0.1836739889992043,0.0686871691977721,70623.0,0.0,9975.24,0.1871951946975973,0.0634023198011599,62544.0,1.0,10057.84,0.1907630978317253,0.0621656292146488,51783.0,0.0,9741.16,0.1840980220634689,0.0650743062642756,51779.0,0.0,8650.0,0.1846039422501496,0.0633511370436864,66469.0,0.0,8580.0,0.1759632150137905,0.0810076747811488,81359.0,0,8075.42,0.1720075243845796,0.0794516178975073,76116.0
190,1.0,3897.75,0.1866759847522236,0.0526365946632782,2111.0,1.0,3900.46,0.1461787709497206,0.045268156424581,819.0,0.0,3852.06,0.1486024844720496,0.0305341614906832,762.0,1.0,3866.2,0.1329551569506726,0.0502331838565022,887.0,0.0,3849.93,0.1506285714285714,0.0452530612244897,874.0,1.0,3852.77,0.1416284153005464,0.0392295081967213,867.0,1.0,3892.8,0.1656328502415459,0.0356908212560386,898.0,1,3984.76,0.142,0.0414909909909909,916.0
125,0.0,3794.75,0.1191942857142857,0.0598514285714285,857.0,1.0,3827.27,0.1499378238341968,0.0440880829015544,838.0,0.0,3813.75,0.1207625,0.0426875,737.0,1.0,4024.88,0.138046511627907,0.0463100775193798,663.0,0.0,3994.57,0.1165153374233129,0.0513374233128834,739.0,1.0,3998.35,0.1323176470588235,0.0480529411764705,823.0,1.0,4008.38,0.1214606741573033,0.0455561797752809,851.0,0,3627.47,0.1327112068965517,0.0408793103448275,946.0
193,1.0,3866.2,0.1329551569506726,0.0502331838565022,887.0,0.0,3849.93,0.1506285714285714,0.0452530612244897,874.0,1.0,3852.77,0.1416284153005464,0.0392295081967213,867.0,1.0,3892.8,0.1656328502415459,0.0356908212560386,898.0,1.0,3984.76,0.142,0.0414909909909909,916.0,0.0,3969.33,0.1326993865030675,0.0409693251533742,725.0,1.0,3975.87,0.1799620253164557,0.0397552742616033,860.0,1,3993.44,0.1871849056603773,0.0342415094339622,928.0
254,1.0,7154.19,0.1837193524309577,0.0650784238025377,93623.0,1.0,8098.31,0.1807994923857868,0.0643804939952952,79068.0,0.0,7790.2,0.1795034372085962,0.0636088521675015,110729.0,1.0,8150.66,0.1800851665966525,0.0601607375798713,106224.0,0.0,7926.96,0.1795332862397389,0.0624717560227023,91053.0,0.0,7255.41,0.1843493641556202,0.0669718180838452,84781.0,1.0,7326.99,0.1711926460385736,0.0793121687248508,82603.0,1,8091.55,0.1797771876090412,0.0653985189780173,63306.0
34,1.0,6550.68,0.1040984455958549,0.0397305699481865,870.0,1.0,6558.37,0.1093724137931034,0.0403793103448275,833.0,0.0,6550.12,0.1318590604026845,0.0418322147651006,790.0,0.0,6532.0,0.1305729166666666,0.0316041666666666,601.0,1.0,6613.67,0.1209649122807017,0.0345526315789473,723.0,0.0,6581.04,0.1193150684931506,0.0443904109589041,687.0,0.0,6510.01,0.1238014705882352,0.0437205882352941,704.0,0,6196.71,0.1335479452054794,0.0508082191780821,781.0
27,1.0,6716.24,0.1200049751243781,0.0330348258706467,965.0,0.0,6629.42,0.1257263157894736,0.0337842105263157,934.0,0.0,6569.77,0.1055195530726256,0.0378659217877094,974.0,0.0,6555.0,0.1030364963503649,0.0311970802919707,773.0,1.0,6572.79,0.1031081081081081,0.0336148648648648,838.0,0.0,6518.14,0.1829236507240017,0.0654539271610355,9881.0,0.0,6439.04,0.1213259668508287,0.0452430939226519,842.0,1,6550.68,0.1040984455958549,0.0397305699481865,870.0
51,1.0,6434.33,0.1195714285714285,0.0597362637362637,561.0,0.0,6402.47,0.1326946564885496,0.0316870229007633,726.0,0.0,6395.93,0.1258452380952381,0.0281488095238095,833.0,1.0,6426.9,0.1407484276729559,0.0323836477987421,894.0,0.0,6393.87,0.1180604026845637,0.0388859060402684,821.0,0.0,6393.49,0.1070333333333333,0.0411933333333333,852.0,1.0,6410.0,0.1030927835051546,0.0325979381443298,693.0,0,6393.21,0.1264741379310344,0.0363706896551724,624.0
360,1.0,10254.95,0.1881670598709103,0.0640105942577342,54485.0,0.0,10135.34,0.1808466551152629,0.0689941615187584,65367.0,0.0,9705.7,0.172915567183704,0.0775897589235656,64571.0,0.0,9503.28,0.1755796818881477,0.0754848982384128,69934.0,1.0,9586.5,0.1744515881428414,0.078676303958478,65909.0,1.0,9650.68,0.1804327354260089,0.0713215585074879,57357.0,1.0,9709.65,0.1799857501200832,0.0678773549661098,48196.0,1,10388.59,0.1764437716662815,0.0715074647561821,56354.0
321,1.0,10610.75,0.1729252216643521,0.0791850763807285,83294.0,0.0,10565.04,0.1724509792709078,0.0769259185132237,80197.0,1.0,10960.98,0.1792684735444595,0.0707662716145327,76434.0,0.0,10566.81,0.1849193865076131,0.067359834031045,66201.0,0.0,10272.01,0.185489386427022,0.0614984505732878,61595.0,0.0,10126.66,0.1842797122396688,0.0673711648380527,74541.0,0.0,9780.0,0.1769269034861414,0.06951842296752,71371.0,1,9894.0,0.1766537072079821,0.0737196972303457,68990.0
279,1.0,7743.99,0.1723261574153048,0.0742061342158234,64947.0,1.0,7956.05,0.1813975609756097,0.0695439741750358,61317.0,0.0,7885.06,0.172436887921654,0.0745735944867609,62125.0,0.0,7638.0,0.1810941507519143,0.0674091705876926,111201.0,1.0,7951.6,0.1844844276094276,0.0667835765057987,51247.0,0.0,7912.87,0.18006125023896,0.0637708659912062,59055.0,1.0,8158.38,0.1799749520613614,0.0615176973473953,84389.0,1,8327.58,0.1790784357708987,0.0612565799312098,60489.0
419,1.0,7442.89,0.1697209138615128,0.0816225841546141,71949.0,1.0,8600.29,0.1818535169386527,0.0746736167651952,71917.0,1.0,9250.0,0.1786462553148749,0.0752645552244802,74341.0,1.0,9578.25,0.1806059904541427,0.072646974763497,86189.0,0.0,9459.03,0.189685191652842,0.0605860036671614,55974.0,1.0,9463.13,0.1802870095070293,0.0631355210512792,65056.0,0.0,9231.39,0.1832523605811847,0.0610967356534474,62152.0,0,9127.5,0.1794943641169154,0.0670024486940298,59961.0
145,0.0,3553.46,0.1716025061626951,0.081630101342098,34853.0,1.0,3566.18,0.1712426592797783,0.0785976454293628,35588.0,0.0,3561.11,0.1713157930380604,0.0772880265474739,34175.0,1.0,3563.41,0.1798921607016994,0.0688847991228757,30096.0,0.0,3541.0,0.1859704058857568,0.0748609572621311,28039.0,0.0,3434.59,0.1825442786927653,0.0721826334396826,27893.0,0.0,3395.81,0.1123101265822784,0.0587658227848101,861.0,1,3440.36,0.1300949367088607,0.0483417721518987,827.0
331,0.0,9438.0,0.1999653074433657,0.0668012621359223,78224.0,1.0,9505.0,0.1857481038392368,0.0652936507936507,56764.0,1.0,9591.09,0.1844551568752732,0.0654858257389783,68516.0,1.0,10049.98,0.1828999248839114,0.0625920854957661,68645.0,1.0,10418.55,0.1794996576046018,0.0698624255290008,70581.0,1.0,10427.53,0.1795371240294904,0.0712429373001892,71088.0,1.0,10829.84,0.1879652153573696,0.0616629130885153,70191.0,1,10970.33,0.1938386233269598,0.0581790057361376,58958.0
411,0.0,7977.13,0.1867644132757074,0.0626013210470521,61220.0,1.0,8061.17,0.1790267663920422,0.0709550476479744,63805.0,0.0,7953.45,0.1743556326084498,0.0748492066483247,62450.0,1.0,7959.0,0.1756081107814046,0.0787095548961424,58988.0,1.0,8212.4,0.1801827220398648,0.0703143047428761,51224.0,1.0,8214.63,0.1837664276885043,0.0641759208899876,50095.0,0.0,8095.0,0.1788686321265987,0.0710729243442445,57710.0,0,7433.14,0.1817608085573677,0.0671878228332045,58838.0
213,1.0,4132.04,0.1524427083333333,0.03046875,895.0,1.0,4788.76,0.1740506329113924,0.0358987341772151,1003.0,1.0,5222.34,0.1667830687830687,0.0468650793650793,1206.0,0.0,4925.0,0.1609,0.0545911764705882,1177.0,1.0,5002.24,0.1484092664092664,0.0426293436293436,976.0,0.0,5001.93,0.1660659025787965,0.0329770773638968,1091.0,1.0,5151.86,0.1588904109589041,0.0395479452054794,924.0,1,5282.62,0.1735533980582524,0.0397038834951456,935.0
159,0.0,3368.07,0.1322114285714285,0.0379428571428571,878.0,0.0,3364.43,0.1205885416666666,0.0438125,904.0,1.0,3591.51,0.1235515463917525,0.0479587628865979,926.0,1.0,3620.01,0.1475443037974683,0.0387151898734177,926.0,1.0,3624.12,0.1129679487179487,0.059826923076923,786.0,0.0,3596.42,0.1294755244755245,0.0373356643356643,809.0,0.0,3580.65,0.1440190476190476,0.0420285714285714,852.0,0,3573.5,0.189068,0.0280799999999999,939.0
391,0.0,8075.42,0.1720075243845796,0.0794516178975073,76116.0,1.0,8242.95,0.1737799704658343,0.0780195328231977,70832.0,0.0,8132.02,0.1733854097268487,0.0766170701014138,63877.0,0.0,8050.0,0.1906996964904031,0.0638331124695421,53762.0,1.0,8253.08,0.1847435083951581,0.0680789242483404,50258.0,1.0,8318.26,0.1727506416584402,0.0724539782823297,60580.0,0.0,8266.11,0.1777423507969131,0.0710979563345872,61667.0,0,8174.2,0.1759040606871932,0.0692167782240071,54418.0
65,1.0,6409.49,0.1079622641509433,0.0544339622641509,759.0,0.0,6400.32,0.1129225352112675,0.0373802816901408,919.0,1.0,6441.92,0.1193705882352941,0.0373941176470588,912.0,1.0,6500.01,0.1177277227722772,0.0420148514851485,986.0,0.0,6408.58,0.1209468085106383,0.0350212765957446,946.0,0.0,6325.42,0.1082857142857142,0.0481428571428571,942.0,1.0,6360.73,0.1154924242424242,0.051060606060606,781.0,0,6311.71,0.0955299145299145,0.0502136752136752,758.0
45,1.0,6393.54,0.1339112903225806,0.0336854838709677,805.0,1.0,6460.32,0.1258058823529411,0.0517882352941176,894.0,0.0,6443.22,0.1312865497076023,0.0279941520467836,913.0,0.0,6370.03,0.1195892857142857,0.0458035714285714,853.0,1.0,6384.17,0.1177350993377483,0.0436556291390728,840.0,1.0,6403.0,0.128155737704918,0.0250327868852459,689.0,1.0,6434.33,0.1195714285714285,0.0597362637362637,561.0,0,6402.47,0.1326946564885496,0.0316870229007633,726.0
245,1.0,5693.79,0.1726441558441558,0.042451948051948,1210.0,1.0,5776.6,0.1710065789473684,0.043188596491228,1364.0,0.0,5745.56,0.1689794344473008,0.0447095115681233,1166.0,0.0,5690.14,0.1830796019900497,0.0435696517412935,1200.0,1.0,5879.31,0.1721639004149377,0.0443257261410788,1367.0,1.0,5903.29,0.1732899082568807,0.0471926605504587,1448.0,1.0,6114.95,0.1680868983957219,0.0680213903743315,1732.0,1,6333.0,0.1720874811463046,0.0506681749622926,1687.0
